OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,Current
65,6,MACKENZIE,RCSZ06,110.00
96,5,KAMPONG GLAM,RCSZ05,120.00
98,7,MOUNT EMILY,RCSZ07,1630.00
85,2,LITTLE INDIA,RCSZ02,3270.00
286,2,PULAU PUNGGOL BARAT,SLSZ02,
280,3,PULAU PUNGGOL TIMOR,SLSZ03,
314,4,SELETAR,SLSZ04,280.00
316,1,SELETAR AEROSPACE PARK,SLSZ01,20.00
296,5,ADMIRALTY,SBSZ05,13920.00
299,9,SENOKO SOUTH,SBSZ09,30.00
293,1,SEMBAWANG EAST,SBSZ01,17340.00
291,3,SEMBAWANG CENTRAL,SBSZ03,34800.00
321,6,SEMBAWANG STRAITS,SBSZ06,1910.00
300,4,SEMBAWANG NORTH,SBSZ04,25540.00
308,2,SEMBAWANG SPRINGS,SBSZ02,9090.00
323,8,SENOKO NORTH,SBSZ08,10.00
322,7,THE WHARVES,SBSZ07,
226,5,COMPASSVALE,SESZ05,20960.00
274,1,LORONG HALUS NORTH,SESZ01,
273,4,ANCHORVALE,SESZ04,48120.00
272,3,SENGKANG TOWN CENTRE,SESZ03,61790.00
262,6,FERNVALE,SESZ06,58800.00
261,7,SENGKANG WEST,SESZ07,10.00
260,2,RIVERVALE,SESZ02,59700.00
242,4,SERANGOON GARDEN,SGSZ04,36080.00
180,6,SERANGOON CENTRAL,SGSZ06,24760.00
176,7,UPPER PAYA LEBAR,SGSZ07,16920.00
225,1,SELETAR HILLS,SGSZ01,14700.00
253,3,SERANGOON NORTH,SGSZ03,15940.00
251,2,SERANGOON NORTH IND ESTATE,SGSZ02,10.00
194,5,LORONG CHUAN,SGSZ05,8490.00
295,4,PULAU SELETAR,SMSZ04,
298,1,SIMPANG NORTH,SMSZ01,
301,2,TANJONG IRAU,SMSZ02,
304,3,SIMPANG SOUTH,SMSZ03,
15,1,ROBERTSON QUAY,SRSZ01,3010.00
8,2,CLARKE QUAY,SRSZ02,130.00
3,3,BOAT QUAY,SRSZ03,130.00
20,1,SENTOSA,SISZ01,1940.00
19,2,SOUTHERN GROUP,SISZ02,
23,1,STRAITS VIEW,SVSZ01,
289,5,RESERVOIR VIEW,SKSZ05,20.00
315,4,PANG SUA,SKSZ04,20.00
281,2,TURF CLUB,SKSZ02,670.00
257,1,KRANJI,SKSZ01,10.00
268,3,GALI BATU,SKSZ03,30.00
189,2,TAMPINES EAST,TMSZ02,130980.00
213,5,XILIN,TMSZ05,1760.00
247,1,TAMPINES NORTH,TMSZ01,8040.00
214,4,SIMEI,TMSZ04,39450.00
182,3,TAMPINES WEST,TMSZ03,79670.00
164,4,TYERSALL,TNSZ04,3880.00
72,3,RIDOUT,TNSZ03,1520.00
95,2,CHATSWORTH,TNSZ02,6890.00
90,1,NASSIM,TNSZ01,9520.00
252,1,TENGAH,THSZ01,10.00
138,11,SENNETT,TPSZ11,7190.00
139,9,POTONG PASIR,TPSZ09,11720.00
162,10,BIDADARI,TPSZ10,
198,7,KIM KEAT,TPSZ07,7960.00
161,3,BRADDELL,TPSZ03,9810.00
159,5,LORONG 8 TOA PAYOH,TPSZ05,7160.00
157,12,JOO SENG,TPSZ12,8150.00
200,2,TOA PAYOH CENTRAL,TPSZ02,28020.00
148,1,TOA PAYOH WEST,TPSZ01,14360.00
141,6,PEI CHUN,TPSZ06,10360.00
142,4,BOON TECK,TPSZ04,14660.00
145,8,WOODLEIGH,TPSZ08,2450.00
140,3,TUAS NORTH,TSSZ03,30.00
191,1,TENGEH,TSSZ01,
75,6,TUAS VIEW EXTENSION,TSSZ06,10.00
89,5,TUAS VIEW,TSSZ05,10.00
178,2,TUAS PROMENADE,TSSZ02,10.00
111,4,TUAS BAY,TSSZ04,10.00
17,3,SUDONG,WISZ03,
16,1,JURONG ISLAND AND BUKOM,WISZ01,10.00
18,2,SEMAKAU,WISZ02,
285,1,WESTERN WATER CATCHMENT,WCSZ01,640.00
294,8,SENOKO WEST,WDSZ08,20.00
282,4,WOODLANDS SOUTH,WDSZ04,41000.00
292,7,GREENWOOD PARK,WDSZ07,40.00
306,2,MIDVIEW,WDSZ02,35270.00
307,6,WOODLANDS WEST,WDSZ06,33910.00
290,3,WOODLANDS EAST,WDSZ03,98980.00
288,1,WOODLANDS REGIONAL CENTRE,WDSZ01,10.00
320,9,NORTH COAST,WDSZ09,12100.00
283,5,WOODGROVE,WDSZ05,33790.00
317,8,KHATIB,YSSZ08,10250.00
287,9,YISHUN WEST,YSSZ09,53910.00
309,6,SPRINGLEAF,YSSZ06,4370.00
275,4,YISHUN SOUTH,YSSZ04,42240.00
276,5,LOWER SELETAR,YSSZ05,18660.00
279,1,YISHUN CENTRAL,YSSZ01,2620.00
284,3,YISHUN EAST,YSSZ03,60670.00
311,7,NEE SOON,YSSZ07,890.00
305,2,NORTHLAND,YSSZ02,28000.00
